iter	RMSE
0	0.9123761568
1	0.8313433244
2	0.7594881018
3	0.7007828473
4	0.6486998455
5	0.6075329899
6	0.5693946793
7	0.5412733507
8	0.5110377772
9	0.4927765718
10	0.4682438843
11	0.4496123604
12	0.434439151
13	0.4191160882
14	0.4046132752
15	0.3962203235
16	0.3837718539
17	0.3726022132
18	0.3628651759
19	0.3552255821
20	0.3496505624
21	0.342281484
22	0.3371049737
23	0.3324306644
24	0.3275049301
25	0.3222761218
26	0.3186661366
27	0.3141163724
28	0.3121036307
29	0.3081699195
30	0.3050063892
31	0.302488413
32	0.2995045374
33	0.2964737216
34	0.2942304478
35	0.2925309863
36	0.2898798287
37	0.2878906162
38	0.2858483275
39	0.2837027351
40	0.2824669955
41	0.2809228616
42	0.2793713767
43	0.2784159023
44	0.2769538037
45	0.275407874
46	0.2728364631
47	0.2712829855
48	0.2693310694
49	0.2685812772
50	0.2678901074
51	0.2655574304
52	0.2648229191
53	0.2639403196
54	0.2618408481
55	0.2611423134
56	0.2584934952
57	0.2577445308
58	0.2561514844
59	0.255572944
60	0.2543127046
61	0.2536964666
62	0.2524683136
63	0.2521944929
64	0.2505762682
65	0.2502696182
66	0.2487180719
67	0.2474403607
68	0.2459519488
69	0.2448053987
70	0.2435958164
71	0.2423040757
72	0.242056793
73	0.2404427934
74	0.2400275151
75	0.2382353335
76	0.2379976487
77	0.2367413176
78	0.2351234872
79	0.2340988197
80	0.233158235
81	0.2320096942
82	0.2308533037
83	0.2301482995
84	0.2292635252
85	0.2290868338
86	0.2280327507
87	0.2276030923
88	0.2270017222
89	0.2254135499
90	0.2246439619
91	0.2243379802
92	0.2227694683
93	0.2217565454
94	0.2205205497
95	0.2202436075
96	0.2191719844
97	0.2182234433
98	0.2172196785
99	0.2161935076
100	0.2149239364
101	0.2137918233
102	0.2130444596
103	0.2120153001
104	0.2109557837
105	0.2103086999
106	0.2090018763
107	0.2088324842
108	0.2086854405
109	0.2077105205
110	0.2071334278
111	0.2070206605
112	0.2066668784
113	0.2058114375
114	0.2048733588
115	0.2038861382
116	0.2030293919
117	0.2023376717
118	0.2014846652
119	0.2012487632
120	0.2003033113
121	0.1993240267
122	0.1986617854
123	0.1978905098
124	0.1969273661
125	0.1963734592
126	0.195466212
127	0.1947842671
128	0.1946105409
129	0.1939827016
130	0.1937664344
131	0.192904274
132	0.1928118622
133	0.1921775087
134	0.1914301875
135	0.1908220522
136	0.1904925714
137	0.1899691539
138	0.1892470114
139	0.1884908914
140	0.1883588181
141	0.1882386486
142	0.1880628303
143	0.1879698074
144	0.1871116184
145	0.1861062542
146	0.1855671951
147	0.1847488339
148	0.1846027346
149	0.1844987164
150	0.1835594325
151	0.1823452205
152	0.1817533249
153	0.1811116652
154	0.1805821368
155	0.1804777246
156	0.1798868219
157	0.1791388782
158	0.1788543063
159	0.1780540004
160	0.177919367
161	0.1777718778
162	0.1772660899
163	0.1765605498
164	0.1755816193
165	0.1749466221
166	0.1745484976
167	0.1736564951
168	0.1729401962
169	0.1727480818
170	0.1720911203
171	0.171172321
172	0.1711078845
173	0.1707714406
174	0.1704032216
175	0.1702926968
176	0.1698078718
177	0.1696421417
178	0.1690047805
179	0.1687469647
180	0.1686758154
181	0.1677768631
182	0.1671418234
183	0.1662673701
184	0.1662087879
185	0.1655139533
186	0.1649902683
187	0.1644581726
188	0.1639481498
189	0.163544488
190	0.1630546826
191	0.1626587744
192	0.1624123194
193	0.1620481658
194	0.1616685636
195	0.1610903212
196	0.1606050337
197	0.1600432687
198	0.1599548342
199	0.159874029
